PRODUCTO,COLOR,GENERO,PRODUCTO_BASE64,PRODUCTOS_BASE64
57096719,99,O,IHsgImMiOiAiOTkiLCAiZyI6ICJPIiwgImkiOiAiNTcwOTY3MTkifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk2NzE5In0gXSA=
57096718,99,A,IHsgImMiOiAiOTkiLCAiZyI6ICJBIiwgImkiOiAiNTcwOTY3MTgifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk2NzE4In0gXSA=
57096717,99,A,IHsgImMiOiAiOTkiLCAiZyI6ICJBIiwgImkiOiAiNTcwOTY3MTcifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk2NzE3In0gXSA=
57096716,99,A,IHsgImMiOiAiOTkiLCAiZyI6ICJBIiwgImkiOiAiNTcwOTY3MTYifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk2NzE2In0gXSA=
57096715,08,M,IHsgImMiOiAiMDgiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTY3MTUifSA=,IFsgeyAiYyI6ICIwOCIsICJpIjogIjU3MDk2NzE1In0gXSA=
57096715,99,M,IHsgImMiOiAiOTkiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTY3MTUifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk2NzE1In0gXSA=
57096712,43,M,IHsgImMiOiAiNDMiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTY3MTIifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MDk2NzEyIn0gXSA=
57096712,52,M,IHsgImMiOiAiNTIiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTY3MTIifSA=,IFsgeyAiYyI6ICI1MiIsICJpIjogIjU3MDk2NzEyIn0gXSA=
57096711,92,M,IHsgImMiOiAiOTIiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTY3MTEifSA=,IFsgeyAiYyI6ICI5MiIsICJpIjogIjU3MDk2NzExIn0gXSA=
57096711,08,M,IHsgImMiOiAiMDgiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTY3MTEifSA=,IFsgeyAiYyI6ICIwOCIsICJpIjogIjU3MDk2NzExIn0gXSA=
57096710,76,F,IHsgImMiOiAiNzYiLCAiZyI6ICJGIiwgImkiOiAiNTcwOTY3MTAifSA=,IFsgeyAiYyI6ICI3NiIsICJpIjogIjU3MDk2NzEwIn0gXSA=
57096710,43,F,IHsgImMiOiAiNDMiLCAiZyI6ICJGIiwgImkiOiAiNTcwOTY3MTAifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MDk2NzEwIn0gXSA=
57096709,95,F,IHsgImMiOiAiOTUiLCAiZyI6ICJGIiwgImkiOiAiNTcwOTY3MDkifSA=,IFsgeyAiYyI6ICI5NSIsICJpIjogIjU3MDk2NzA5In0gXSA=
57096709,02,F,IHsgImMiOiAiMDIiLCAiZyI6ICJGIiwgImkiOiAiNTcwOTY3MDkifSA=,IFsgeyAiYyI6ICIwMiIsICJpIjogIjU3MDk2NzA5In0gXSA=
57096709,40,F,IHsgImMiOiAiNDAiLCAiZyI6ICJGIiwgImkiOiAiNTcwOTY3MDkifSA=,IFsgeyAiYyI6ICI0MCIsICJpIjogIjU3MDk2NzA5In0gXSA=
57096316,31,F,IHsgImMiOiAiMzEiLCAiZyI6ICJGIiwgImkiOiAiNTcwOTYzMTYifSA=,IFsgeyAiYyI6ICIzMSIsICJpIjogIjU3MDk2MzE2In0gXSA=
57096315,08,U,IHsgImMiOiAiMDgiLCAiZyI6ICJVIiwgImkiOiAiNTcwOTYzMTUifSA=,IFsgeyAiYyI6ICIwOCIsICJpIjogIjU3MDk2MzE1In0gXSA=
57096313,40,F,IHsgImMiOiAiNDAiLCAiZyI6ICJGIiwgImkiOiAiNTcwOTYzMTMifSA=,IFsgeyAiYyI6ICI0MCIsICJpIjogIjU3MDk2MzEzIn0gXSA=
57096312,99,M,IHsgImMiOiAiOTkiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTYzMTIifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk2MzEyIn0gXSA=
57096312,43,M,IHsgImMiOiAiNDMiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTYzMTIifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MDk2MzEyIn0gXSA=
57096311,06,M,IHsgImMiOiAiMDYiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTYzMTEifSA=,IFsgeyAiYyI6ICIwNiIsICJpIjogIjU3MDk2MzExIn0gXSA=
57096311,94,M,IHsgImMiOiAiOTQiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTYzMTEifSA=,IFsgeyAiYyI6ICI5NCIsICJpIjogIjU3MDk2MzExIn0gXSA=
57096310,83,E,IHsgImMiOiAiODMiLCAiZyI6ICJFIiwgImkiOiAiNTcwOTYzMTAifSA=,IFsgeyAiYyI6ICI4MyIsICJpIjogIjU3MDk2MzEwIn0gXSA=
57096310,08,E,IHsgImMiOiAiMDgiLCAiZyI6ICJFIiwgImkiOiAiNTcwOTYzMTAifSA=,IFsgeyAiYyI6ICIwOCIsICJpIjogIjU3MDk2MzEwIn0gXSA=
57096309,59,H,IHsgImMiOiAiNTkiLCAiZyI6ICJIIiwgImkiOiAiNTcwOTYzMDkifSA=,IFsgeyAiYyI6ICI1OSIsICJpIjogIjU3MDk2MzA5In0gXSA=
57096309,72,H,IHsgImMiOiAiNzIiLCAiZyI6ICJIIiwgImkiOiAiNTcwOTYzMDkifSA=,IFsgeyAiYyI6ICI3MiIsICJpIjogIjU3MDk2MzA5In0gXSA=
57096309,02,H,IHsgImMiOiAiMDIiLCAiZyI6ICJIIiwgImkiOiAiNTcwOTYzMDkifSA=,IFsgeyAiYyI6ICIwMiIsICJpIjogIjU3MDk2MzA5In0gXSA=
57096308,99,M,IHsgImMiOiAiOTkiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTYzMDgifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk2MzA4In0gXSA=
57096308,43,M,IHsgImMiOiAiNDMiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTYzMDgifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MDk2MzA4In0gXSA=
57096307,43,M,IHsgImMiOiAiNDMiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTYzMDcifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MDk2MzA3In0gXSA=
57096307,56,M,IHsgImMiOiAiNTYiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTYzMDcifSA=,IFsgeyAiYyI6ICI1NiIsICJpIjogIjU3MDk2MzA3In0gXSA=
57096306,91,M,IHsgImMiOiAiOTEiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTYzMDYifSA=,IFsgeyAiYyI6ICI5MSIsICJpIjogIjU3MDk2MzA2In0gXSA=
57096305,99,E,IHsgImMiOiAiOTkiLCAiZyI6ICJFIiwgImkiOiAiNTcwOTYzMDUifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk2MzA1In0gXSA=
57096031,52,M,IHsgImMiOiAiNTIiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTYwMzEifSA=,IFsgeyAiYyI6ICI1MiIsICJpIjogIjU3MDk2MDMxIn0gXSA=
