PRODUCTO,COLOR,GENERO
37085942,01,M
37085941,15,M
37085940,02,M
37085939,05,U
37085939,56,U
37085938,99,M
37085938,02,M
37085937,43,M
37085936,37,P
37085934,56,A
37085934,96,A
37085933,OR,Q
37085932,30,U
37085931,09,M
37085930,43,M
37085928,99,M
37085927,91,Q
37085927,05,Q
37085927,99,Q
37085925,40,A
37085924,56,A
37085923,02,M
37085922,81,E
37085921,85,E
37085920,43,H
37085920,92,H
37085919,08,H
37085918,94,H
37085917,88,M
37085917,50,M
37085917,99,M
37085916,99,O
37085915,98,H
37085914,05,M
37085914,84,M
37085913,01,M
37085912,08,U
37085912,30,U
37085912,35,U
37085911,05,M
37085910,99,H
37085910,37,H
37085909,96,A
37085909,07,A
37085908,99,Q
37085908,74,Q
37085907,99,M
37085906,99,M
37085904,TG,M
37085903,56,Q
37085903,02,Q
37085902,31,H
37085835,02,A
37085834,91,M
37085833,99,M
37085831,02,M
37085831,99,M
37085830,09,M
37085830,99,M
37085829,OR,M
37085828,OR,M
37085826,99,M
37085825,99,M
37085824,99,M
37085824,43,M
37085823,99,M
37085822,99,M
37085821,99,M
37085820,08,Q
37085819,28,M
37085819,05,M
37085819,37,M
37085817,30,M
37085816,99,M
37085816,37,M
37085816,05,M
37085815,37,O
37085814,49,M
37085814,99,M
37085717,09,H
37085717,92,H
37085148,52,M
37085147,02,F
37085146,99,M
37085145,88,M
37085144,02,M
37085143,70,A
37085142,02,M
37085142,32,M
37085142,20,M
37085141,99,M
37085140,92,M
37085138,99,M
37085137,50,M
37085136,99,M
37085135,08,Q
37085135,69,Q
37085134,40,Q
37085133,30,M
37085132,94,M
37085132,31,M
37085131,02,M
37085130,94,O
37085130,49,O
37085130,56,O
37085129,09,M
37084773,60,M
37084772,20,M
37084771,52,A
37084770,99,H
37084770,09,H
37084768,53,O
37084767,01,U
37084766,01,U
37084765,05,M
37084764,81,A
37084763,43,A
37084762,TG,A
37084760,53,A
37084759,92,O
37084758,56,P
37084758,01,P
37084757,99,O
37084757,94,O
37084757,02,O
37084756,52,Q
37084755,56,Q
37084755,99,Q
37084754,92,O
37084754,52,O
37084754,07,O
37084754,56,O
37084753,81,E
37084753,02,E
37084753,50,E
37084398,68,A
37084396,43,U
37084396,15,U
37084395,43,M
37084395,99,M
37084394,30,M
37084393,88,M
37084392,99,M
37084391,99,M
37084390,99,M
37084389,40,Q
37084388,99,Q
37084387,37,O
37084387,02,O
37084387,28,O
37084387,99,O
37084387,56,O
37084386,92,O
37084386,37,O
37084385,69,Q
37084384,05,D
37084383,68,M
37084383,43,M
37084381,28,M
37084381,37,M
37084380,30,M
37084379,99,M
37084378,03,M
37084377,70,M
37084377,31,M
37084377,99,M
37084064,30,M
37084063,01,M
37084061,05,A
37084060,99,H
37084059,99,M
37084058,99,M
37084057,01,H
37084056,99,H
37084055,96,H
37084054,05,U
37084054,16,U
37084053,85,A
37084052,43,A
37084052,46,A
37084051,TM,E
37084050,02,A
37084050,50,A
37084049,01,M
37084048,30,A
37084047,99,A
37084046,05,U
37084045,30,U
37084045,83,U
37084045,05,U
37084044,79,U
37084044,05,U
37084043,08,U
37084042,30,H
37084040,08,H
37084040,40,H
37084040,55,H
37084040,21,H
37084039,82,A
37084039,95,A
37084039,01,A
37084039,02,A
37084038,99,E
37084037,52,U
37084036,99,M
37084035,99,M
